ds,key,topology,morph,L,kstar_true,n_hill,Dratio,slow_idx,base_rob_10,imm_slow_ok,imm_slow_rob,imm_mid_ok,imm_mid_rob,imm_fast_ok,imm_fast_rob
three_gene_train,sample_0084,selfinhib,spots,117.14157280940597,0.3218252148997135,4.0,204.1413935740722,0,1.0,True,1.0,True,1.0,False,0.0
three_gene_train,sample_0085,selfinhib,spots,104.16180466962271,0.36192836676217766,4.0,103.59688357662401,0,1.0,True,1.0,False,0.0,True,1.0
three_gene_train,sample_0086,selfinhib,labyrinth,93.77153306797179,0.40203151862464187,3.0,217.94750278389571,0,1.0,True,1.0,True,1.0,False,0.0
three_gene_train,sample_0087,double_inhibitor,labyrinth,81.56692704558535,0.46218624641833816,4.0,193.02400356387759,0,1.0,True,1.0,False,0.0,True,1.0
three_gene_val,sample_0000,cross_repress,stripes,91.48997297253318,0.4120573065902579,2.0,60.84565368033289,0,0.865,True,1.0,False,0.0,True,0.8475
three_gene_val,sample_0001,cross_repress,labyrinth,110.27104750646653,0.3418767908309456,4.0,106.18146642483742,0,0.8975,True,1.0,False,0.0,True,0.8925
three_gene_val,sample_0002,relay_chain,spots,93.77153306797179,0.40203151862464187,3.0,84.95946626169551,0,1.0,True,1.0,True,0.805,False,0.0
three_gene_val,sample_0003,double_inhibitor,labyrinth,50.0696036641146,0.7529340974212035,3.0,33.88234893579222,0,0.69,True,0.7225,False,0.0,True,0.415
three_gene_val,sample_0004,selfinhib,spots,104.16180466962271,0.36192836676217766,2.0,107.83348264194541,0,0.925,True,0.925,False,0.0,True,0.925
three_gene_val,sample_0005,selfinhib,labyrinth,81.56692704558535,0.46218624641833816,4.0,148.5736979031962,0,1.0,True,1.0,True,1.0,False,0.0
three_gene_val,sample_0006,cross_repress,labyrinth,39.95987922198312,0.9434240687679084,4.0,157.688239713737,0,0.7325,True,0.995,False,0.0,False,0.0
three_gene_val,sample_0007,substrate_depl,labyrinth,59.59159563212364,0.632624641833811,3.0,161.1035051099652,0,0.8275,True,0.8325,False,0.0,True,0.8275
three_gene_val,sample_0008,substrate_depl,labyrinth,124.92513253291477,0.3017736389684814,2.0,161.71542713982112,0,0.7525,True,1.0,False,0.0,True,0.755
three_gene_val,sample_0009,selfinhib,spots,54.41719758968506,0.6927793696275072,3.0,59.8759981967344,0,0.7325,True,0.7325,False,0.0,True,0.7325
three_gene_val,sample_0010,relay_chain,spots,138.75461425865362,0.27169627507163324,2.0,106.48131206421459,0,0.9675,True,1.0,False,0.0,False,0.0
three_gene_val,sample_0011,substrate_depl,spots,98.69395648696695,0.3819799426934098,3.0,164.22680203957376,0,0.875,True,0.875,False,0.0,True,0.875
three_gene_val,sample_0012,cross_repress,spots,120.9082140200523,0.31179942693409746,3.0,205.29690976227494,0,0.9925,True,0.9925,False,0.0,True,0.9925
three_gene_val,sample_0013,cross_repress,labyrinth,72.17337659552298,0.5223409742120344,2.0,61.87715298008567,0,0.7275,True,0.9975,False,0.0,False,0.0
three_gene_val,sample_0014,cross_repress,labyrinth,113.60252498129837,0.33185100286532954,2.0,193.7234718814078,0,0.93,True,1.0,True,0.605,False,0.0
three_gene_val,sample_0015,double_inhibitor,spots,65.85343774142133,0.5724699140401147,4.0,100.56860980693646,0,1.0,True,1.0,False,0.0,True,1.0
three_gene_val,sample_0016,cross_repress,spots,78.17535269091718,0.48223782234957024,4.0,151.1810045339676,0,1.0,True,1.0,True,1.0,False,0.0
three_gene_val,sample_0017,cross_repress,spots,44.71136571877067,0.8431661891117479,3.0,21.508205259173323,0,0.9925,True,1.0,True,0.99,False,0.0
three_gene_val,sample_0018,relay_chain,labyrinth,101.35418939107365,0.37195415472779375,4.0,166.82296040946125,0,0.765,True,0.765,True,0.61,False,0.0
