ds,key,morph,topology,mean_from_DC,frame_mean,var_from_power,frame_var,cv,x_star_ch,sigma_max,k_star
three_gene_train,sample_0084,spots,selfinhib,0.56400996,0.56400996,0.0075682527,0.0075682527,0.15424497425556183,0.5594474849987382,0.12468539869681947,0.3218252148997135
three_gene_train,sample_0085,spots,selfinhib,0.82708794,0.8270879,0.56514657,0.56514657,0.908926784992218,1.2969070251279198,0.3206211831671921,0.36192836676217766
three_gene_train,sample_0086,labyrinth,selfinhib,0.17866245,0.17866243,0.033998426,0.03399843,1.0320391654968262,0.2689453139260506,0.6985665158659772,0.40203151862464187
three_gene_train,sample_0087,labyrinth,double_inhibitor,0.49948385,0.49948385,0.012449397,0.012449398,0.2233843356370926,0.5056219282701093,0.26716241989760015,0.46218624641833816
three_gene_val,sample_0000,stripes,cross_repress,0.41300452,0.41300452,0.031177215,0.03117721,0.4275272786617279,0.42053119913452536,0.05577074930284631,0.4120573065902579
three_gene_val,sample_0001,labyrinth,cross_repress,0.13773258,0.13773258,0.010064783,0.010064784,0.7283926606178284,0.19667054107219403,0.04651789167837883,0.3418767908309456
three_gene_val,sample_0002,spots,relay_chain,0.24618609,0.24618609,0.026435554,0.026435554,0.6604359745979309,0.15505189271374334,0.20385054439653416,0.40203151862464187
three_gene_val,sample_0003,labyrinth,double_inhibitor,0.13553135,0.13553137,0.0090491325,0.0090491325,0.7018812894821167,0.1724666360220935,0.5657712472867686,0.7529340974212035
three_gene_val,sample_0004,spots,selfinhib,0.22745919,0.22745916,0.06050141,0.060501404,1.081382393836975,0.3998518033898468,0.24786234539348892,0.36192836676217766
three_gene_val,sample_0005,labyrinth,selfinhib,0.09132623,0.09132623,0.00070786075,0.0007078608,0.2913254499435425,0.09594686548834146,0.2381792697528397,0.46218624641833816
three_gene_val,sample_0006,labyrinth,cross_repress,0.09142447,0.09142448,0.002359943,0.0023599432,0.5313592553138733,0.11562539799907486,0.1449882647193803,0.9434240687679084
three_gene_val,sample_0007,labyrinth,substrate_depl,0.14157489,0.14157489,0.011036323,0.011036323,0.7420377135276794,0.2106602292044987,0.3916590553893826,0.632624641833811
three_gene_val,sample_0008,labyrinth,substrate_depl,0.5526242,0.5526243,0.13094132,0.13094133,0.6547995805740356,0.7213854632734169,0.02385956793811328,0.3017736389684814
three_gene_val,sample_0009,spots,selfinhib,0.08838032,0.088380314,0.0032328912,0.0032328917,0.643339216709137,0.06897697984824702,1.326583993560865,0.6927793696275072
three_gene_val,sample_0010,spots,relay_chain,0.13330065,0.13330065,0.00750931,0.0075093093,0.6500813961029053,0.13500449082042104,0.030617643728897033,0.27169627507163324
three_gene_val,sample_0011,spots,substrate_depl,0.14424983,0.14424981,0.0058210543,0.0058210543,0.5289146304130554,0.1608156759859915,0.699833175598144,0.3819799426934098
three_gene_val,sample_0012,spots,cross_repress,0.080732115,0.08073212,0.0029355027,0.0029355024,0.6711117625236511,0.11141926105758494,0.19572115059925999,0.31179942693409746
three_gene_val,sample_0013,labyrinth,cross_repress,0.44208366,0.4420837,0.036460612,0.036460612,0.43192416429519653,0.4717433881236882,0.06298293253783438,0.5223409742120344
three_gene_val,sample_0014,labyrinth,cross_repress,0.42355892,0.42355892,0.027481392,0.027481386,0.3913861811161041,0.42329304236136883,0.04952596879503446,0.33185100286532954
three_gene_val,sample_0015,spots,double_inhibitor,0.31439334,0.31439334,0.03935459,0.039354593,0.6309927701950073,0.35486411523493605,1.1287889117571375,0.5724699140401147
three_gene_val,sample_0016,spots,cross_repress,0.05677753,0.05677753,0.0008173425,0.0008173425,0.5035302042961121,0.06576412821574287,0.4161339869250966,0.48223782234957024
three_gene_val,sample_0017,spots,cross_repress,0.05584355,0.05584355,0.0014641568,0.0014641567,0.685205340385437,0.07334527216968927,0.7687932278203888,0.8431661891117479
three_gene_val,sample_0018,labyrinth,relay_chain,0.18885857,0.18885857,0.0020147795,0.0020147795,0.23767147958278656,0.1669419863332891,0.27900300996568456,0.37195415472779375
